,Year,65–69,70–74,75–79,80–84,85+,Total,Residence
0,2001–02,3093,4611,7035,8686,13868,73845,Major cities
1,2002–03,3070,4516,7101,9002,14230,74643,Major cities
2,2003–04,3275,4708,7390,9836,15413,79500,Major cities
3,2004–05,3472,4695,7595,10574,16148,81960,Major cities
4,2005–06,3660,4817,7672,10926,17562,84740,Major cities
5,2006–07,4170,5033,8190,12008,19858,92875,Major cities
6,2007–08,4378,5449,8486,11964,21072,95900,Major cities
7,2008–09,4446,5631,8366,12204,22766,99821,Major cities
8,2009–10,4992,6129,8919,13156,25094,107686,Major cities
9,2010–11,5482,6815,9372,14299,28610,116601,Major cities
10,2011–12,5808,7125,9547,14908,30126,121399,Major cities
11,2012–13,6604,7418,10127,14792,31471,123229,Major cities
12,2013–14,6977,7910,10499,15083,32836,129171,Major cities
13,2014–15,7883,8816,11405,15535,35550,138147,Major cities
14,2001–02,575,749,1079,1205,1894,13102,Outer Regional
15,2002–03,553,856,1191,1306,1954,13278,Outer Regional
16,2003–04,574,759,1151,1350,2065,13775,Outer Regional
17,2004–05,687,757,1154,1373,2073,13916,Outer Regional
18,2005–06,679,798,1212,1432,2302,14732,Outer Regional
19,2006–07,703,805,1166,1482,2346,14257,Outer Regional
20,2007–08,730,816,1208,1486,2408,14508,Outer Regional
21,2008–09,763,950,1250,1653,2573,15242,Outer Regional
22,2009–10,840,937,1174,1641,2678,15217,Outer Regional
23,2010–11,919,969,1137,1684,2876,15673,Outer Regional
24,2011–12,947,1047,1316,1751,3085,16385,Outer Regional
25,2012–13,952,1068,1294,1752,3132,16196,Outer Regional
26,2013–14,1034,1112,1380,1713,3251,16652,Outer Regional
27,2014–15,1213,1187,1503,1899,3500,17660,Outer Regional
28,2001–02,1129,1586,2285,2713,4208,24924,Inner Regional
29,2002–03,1061,1557,2253,2848,4387,24703,Inner Regional
30,2003–04,1115,1683,2441,2976,4791,26397,Inner Regional
31,2004–05,1226,1552,2368,3073,4743,26728,Inner Regional
32,2005–06,1381,1681,2571,3532,5465,29119,Inner Regional
33,2006–07,1360,1667,2536,3460,5808,29498,Inner Regional
34,2007–08,1438,1799,2567,3479,5891,30696,Inner Regional
35,2008–09,1619,1955,2715,3770,6474,33077,Inner Regional
36,2009–10,1691,2045,2723,3813,6603,33237,Inner Regional
37,2010–11,1918,2183,2841,4103,7359,34865,Inner Regional
38,2011–12,2089,2392,2957,4179,7652,36212,Inner Regional
39,2012–13,2084,2192,2848,3914,7517,33871,Inner Regional
40,2013–14,2218,2310,2985,3988,8056,35551,Inner Regional
41,2014–15,2403,2569,3265,4169,8583,37034,Inner Regional
42,2001–02,66,91,132,144,187,2273,Remote
43,2002–03,88,115,119,130,204,2213,Remote
44,2003–04,53,71,115,137,216,1911,Remote
45,2004–05,83,80,118,127,175,1904,Remote
46,2005–06,98,104,118,128,220,2056,Remote
47,2006–07,92,92,133,160,199,2039,Remote
48,2007–08,110,98,143,164,247,2398,Remote
49,2008–09,124,85,153,168,296,2506,Remote
50,2009–10,131,118,132,158,269,2518,Remote
51,2010–11,132,149,156,184,273,2660,Remote
52,2011–12,109,110,151,163,264,2502,Remote
53,2012–13,127,121,128,140,295,2473,Remote
54,2013–14,141,120,135,191,291,2444,Remote
55,2014–15,157,159,126,181,298,2537,Remote
56,2001–02,43,33,48,30,52,1150,Very Remote
57,2002–03,50,32,23,35,52,1151,Very Remote
58,2003–04,30,32,31,26,32,996,Very Remote
59,2004–05,38,29,47,45,48,1096,Very Remote
60,2005–06,36,53,40,33,50,1079,Very Remote
61,2006–07,44,30,30,41,38,1110,Very Remote
62,2007–08,50,42,41,49,40,1183,Very Remote
63,2008–09,53,37,44,41,55,1211,Very Remote
64,2009–10,41,45,42,48,44,1289,Very Remote
65,2010–11,49,55,45,48,59,1386,Very Remote
66,2011–12,61,64,49,39,66,1412,Very Remote
67,2012–13,67,62,53,67,74,1629,Very Remote
68,2013–14,62,94,57,54,101,1720,Very Remote
69,2014–15,89,74,49,76,93,1593,Very Remote
